raceId,precipitation_mm,temp_max,wind_max,is_wet_race
400,0.2,25.5,8.2,0
401,0.0,23.5,10.3,0
402,0.4,16.6,19.5,0
403,0.0,30.6,17.6,0
404,0.0,29.4,18.6,0
405,0.0,17.6,15.4,0
406,18.4,16.2,14.8,1
407,0.0,20.1,9.2,0
408,0.0,18.1,16.6,0
409,0.0,24.2,19.9,0
410,1.5,30.6,28.7,1
411,0.5,23.3,33.1,0
412,0.7,19.2,12.2,0
413,0.0,24.4,7.2,0
414,0.0,28.3,6.9,0
415,0.8,27.5,6.0,0
416,0.0,24.2,7.3,0
417,1.8,22.3,14.8,1
418,0.0,22.1,9.7,0
419,1.1,14.8,15.9,1
420,0.5,31.3,12.1,0
421,4.1,14.6,28.1,1
422,8.8,14.2,8.9,1
423,1.2,19.4,11.0,1
424,1.2,21.5,12.2,1
425,0.0,27.3,31.7,0
426,0.2,26.8,11.5,0
427,0.9,16.4,21.3,0
428,2.0,14.1,25.1,1
429,18.5,19.1,12.5,1
430,1.5,16.6,34.2,1
431,0.0,24.2,7.2,0
432,11.2,13.9,21.9,1
433,0.5,17.4,33.6,0
434,0.1,25.7,11.7,0
435,0.0,27.1,14.0,0
436,0.0,29.7,16.2,0
437,0.0,24.8,9.4,0
438,0.0,13.7,21.6,0
439,0.0,22.0,11.8,0
440,0.9,15.3,11.5,0
441,26.8,18.2,15.2,1
442,0.0,25.6,12.0,0
443,0.2,24.2,28.4,0
444,0.0,37.2,18.2,0
445,0.0,21.0,11.5,0
446,1.1,21.7,14.2,1
447,0.0,19.1,11.2,0
448,0.0,19.3,16.6,0
449,0.0,20.3,6.5,0
450,0.0,10.2,20.3,0
451,0.0,17.4,22.2,0
452,9.4,31.0,17.0,1
453,0.1,16.5,19.1,0
454,0.6,15.5,36.3,0
455,0.3,22.0,31.1,0
456,6.5,20.6,14.4,1
457,0.7,13.2,12.2,0
458,0.0,23.3,18.6,0
459,0.0,28.5,22.1,0
460,0.5,28.4,11.7,0
461,1.7,21.6,10.8,1
462,0.0,18.7,11.0,0
463,0.4,17.4,26.9,0
464,27.7,21.7,17.6,1
465,0.0,17.0,17.7,0
466,0.0,25.3,15.2,0
467,0.8,23.4,12.9,0
468,0.7,28.1,12.8,0
469,0.0,16.9,22.8,0
470,0.0,13.9,24.7,0
471,3.4,14.4,13.7,1
472,0.4,21.3,18.1,0
473,0.0,22.5,25.5,0
474,3.6,17.4,25.9,1
475,0.2,18.1,23.8,0
476,0.0,21.5,13.8,0
477,0.0,26.1,34.1,0
478,2.7,22.7,12.6,1
479,0.4,25.5,10.2,0
480,0.0,20.1,13.0,0
481,0.6,25.3,7.3,0
482,0.0,33.8,15.6,0
483,0.0,19.1,18.1,0
484,8.7,26.9,13.5,1
485,0.0,22.1,13.0,0
486,2.8,13.5,9.1,1
487,4.3,15.8,18.6,1
488,0.0,23.0,12.8,0
489,0.0,31.3,14.3,0
490,0.0,20.6,6.8,0
491,1.0,17.0,19.2,0
492,1.3,27.8,11.3,1
493,0.0,26.2,5.6,0
494,0.0,17.5,13.7,0
495,11.4,21.5,7.4,1
496,14.9,21.4,22.4,1
497,0.0,23.6,16.1,0
498,0.0,29.6,21.3,0
499,9.2,23.7,11.4,1
500,0.0,24.0,8.9,0
501,0.0,18.7,14.8,0
502,2.2,12.7,24.0,1
503,5.9,14.9,9.2,1
504,0.0,20.7,31.4,0
505,9.4,17.2,15.0,1
506,0.6,22.2,8.6,0
507,1.9,20.7,10.9,1
508,1.7,16.7,41.4,1
509,1.0,24.2,8.1,0
510,0.0,10.8,26.5,0
511,0.0,11.9,10.5,0
841,0.0,19.0,14.0,0
842,31.2,27.5,7.4,1
843,0.0,22.3,10.9,0
844,0.0,15.5,15.4,0
845,0.0,25.5,13.8,0
846,0.0,22.6,8.2,0
847,23.5,17.3,18.7,1
848,0.0,31.3,18.5,0
849,0.6,20.0,10.3,0
850,7.1,12.5,20.1,1
851,1.9,17.2,21.6,1
852,0.5,14.6,24.2,0
853,0.1,26.1,6.6,0
854,2.6,28.8,12.0,1
855,0.0,22.5,9.9,0
856,0.1,19.4,26.3,0
857,0.0,29.6,9.0,0
858,0.0,28.2,12.7,0
859,14.4,22.9,13.5,1
860,0.0,21.4,15.6,0
861,9.9,29.2,10.1,1
862,0.0,20.0,12.0,0
863,0.0,25.5,16.8,0
864,2.5,21.9,13.3,1
865,3.1,20.4,8.7,1
866,0.0,25.8,8.4,0
867,0.0,30.2,19.8,0
868,12.5,18.9,15.1,1
